TRUE,プレースホルダー,フォーム入力形式,置き換え後のテキスト,,,,,,,,,,,,,,,,,,,,,,JSONキー
TRUE,{{記入日}},自動入力,,,,,,,,,,,,,,,,,,,,,,,`basic_info.date_of_writing`
TRUE,{{患者名かな}},自動入力,,,,,,,,,,,,,,,,,,,,,,,`basic_info.patient_name_kana`
TRUE,{{患者名}},自動入力,,,,,,,,,,,,,,,,,,,,,,,`basic_info.patient_name`
TRUE,{{生年月日}},自動入力,,,,,,,,,,,,,,,,,,,,,,,`basic_info.birth_date`
TRUE,{{年齢}},自動入力,,,,,,,,,,,,,,,,,,,,,,,`basic_info.age`
TRUE,{{性別}},自動入力,,,,,,,,,,,,,,,,,,,,,,,`basic_info.sex`
TRUE,{{郵便番号}},自動入力,,,,,,,,,,,,,,,,,,,,,,,`basic_info.postal_code`
TRUE,{{住所}},自動入力,,,,,,,,,,,,,,,,,,,,,,,`basic_info.address`
TRUE,{{連絡先電話番号}},自動入力,,,,,,,,,,,,,,,,,,,,,,,`basic_info.phone`
TRUE,{{医師氏名}},自動入力,,,,,,,,,,,,,,,,,,,,,,,`basic_info.physician_name`
TRUE,{{医療機関名}},自動入力,,,,,,,,,,,,,,,,,,,,,,,`basic_info.institution_name`
TRUE,{{医療機関郵便番号}},自動入力,,,,,,,,,,,,,,,,,,,,,,,`basic_info.institution_postal_code`
TRUE,{{医療機関所在地}},自動入力,,,,,,,,,,,,,,,,,,,,,,,`basic_info.institution_address`
TRUE,{{医療機関電話番号}},自動入力,,,,,,,,,,,,,,,,,,,,,,,`basic_info.institution_phone`
TRUE,{{医療機関FAX番号}},自動入力,,,,,,,,,,,,,,,,,,,,,,,`basic_info.institution_fax`
TRUE,{{同意の有無}},ラジオボタン,□同意する □同意しない,,,,,,,,,,,,,,,,,,,,,,`basic_info.consent`
TRUE,{{最終診察日}},カレンダー,,,,,,,,,,,,,,,,,,,,,,,`basic_info.last_examination_date`
TRUE,{{意見書作成回数}},ラジオボタン,□初回 □2回目以上,,,,,,,,,,,,,,,,,,,,,,`basic_info.opinion_count`
TRUE,{{他科受診有無}},ラジオボタン,□有 □無,,,,,,,,,,,,,,,,,,,,,,`basic_info.other_department_visit`
TRUE,{{他科名}},チェックボックス,"□内科	□精神科	□外科	□整形外科	□脳神経外科	□皮膚科	□泌尿器科
	□婦人科	□眼科	□耳鼻咽喉科	□リハビリテーション科	□歯科",,,,,,,,,,,,,,,,,,,,,,`diagnosis.other_departments`
TRUE,{{その他の他科名}},記述,□その他,,,,,,,,,,,,,,,,,,,,,,`diagnosis.other_department_names`
TRUE,{{診断名1}},記述,,,,,,,,,,,,,,,,,,,,,,,`diagnosis.diagnosis_1_name`
TRUE,{{発症年月日1}},記述,,,,,,,,,,,,,,,,,,,,,,,`diagnosis.diagnosis_1_onset`
TRUE,{{診断名2}},記述,,,,,,,,,,,,,,,,,,,,,,,`diagnosis.diagnosis_2_name`
TRUE,{{発症年月日2}},記述,,,,,,,,,,,,,,,,,,,,,,,`diagnosis.diagnosis_2_onset`
TRUE,{{診断名3}},記述,,,,,,,,,,,,,,,,,,,,,,,`diagnosis.diagnosis_3_name`
TRUE,{{発症年月日3}},記述,,,,,,,,,,,,,,,,,,,,,,,`diagnosis.diagnosis_3_onset`
TRUE,{{症状安定性}},ラジオボタン,□安定 □不安定 □不明,,,,,,,,,,,,,,,,,,,,,,`diagnosis.symptom_stability`
TRUE,{{症状不安定時の具体的状況}},記述,,,,,,,,,,,,,,,,,,,,,,,`diagnosis.symptom_unstable_details`
TRUE,{{経過及び治療内容}},記述,,,,,,,,,,,,,,,,,,,,,,,`diagnosis.course_and_treatment`
TRUE,{{処置内容}},チェックボックス,"□点滴管理	□中心静脈栄養	□透析	□ストーマの処置	□酸素療法
		□レスピレーター	□気管切開の処置	□透析の看護	□経管栄養",,,,,,,,,,,,,,,,,,,,,,`special_medical_care.treatments`
TRUE,{{特別な対応}},チェックボックス,□モニター測定（血圧、心拍、酸素飽和度等）	□褥瘡の処置,,,,,,,,,,,,,,,,,,,,,,`special_medical_care.special_responses`
TRUE,{{失禁への対応}},チェックボックス,□カテーテル（コンドームカテーテル、留置カテーテル等）,,,,,,,,,,,,,,,,,,,,,,`special_medical_care.incontinence_care`
TRUE,{{寝たきり度}},ラジオボタン,□自立 □J1 □J2 □A1 □A2 □B1 □B2 □C1 □C2,,,,,,,,,,,,,,,,,,,,,,`mental_physical_state.bedridden_level`
TRUE,{{認知症高齢者の日常生活自立度}},ラジオボタン,□自立   □Ⅰ   □Ⅱa   □Ⅱb   □Ⅲa   □Ⅲb   □Ⅳ   □M,,,,,,,,,,,,,,,,,,,,,,`mental_physical_state.dementia_level`
TRUE,{{短期記憶}},ラジオボタン,□問題なし □問題あり,,,,,,,,,,,,,,,,,,,,,,`mental_physical_state.short_term_memory`
TRUE,{{認知能力}},ラジオボタン,□自立 □いくらか困難 □見守りが必要 □判断できない,,,,,,,,,,,,,,,,,,,,,,`mental_physical_state.cognitive_ability`
TRUE,{{伝達能力}},ラジオボタン,□伝えられる □いくらか困難 □具体的要求に限られる □伝えられない,,,,,,,,,,,,,,,,,,,,,,`mental_physical_state.communication_ability`
TRUE,{{周辺症状有無}},ラジオボタン,□無 □有,,,,,,,,,,,,,,,,,,,,,,`mental_physical_state.peripheral_symptoms`
TRUE,{{周辺症状詳細}},チェックボックス,"□幻視・幻聴	□妄想	□昼夜逆転	□暴言	□暴行	□介護への抵抗	□徘徊
			□火の不始末	□不潔行為	□異食行動	□性的問題行動",,,,,,,,,,,,,,,,,,,,,,`mental_physical_state.peripheral_symptoms_details`
TRUE,{{その他の周辺症状}},記述,□その他（）,,,,,,,,,,,,,,,,,,,,,,`mental_physical_state.other_peripheral_symptoms`
TRUE,{{精神神経症状有無}},ラジオボタン,□無 □有,,,,,,,,,,,,,,,,,,,,,,`mental_physical_state.psychiatric_symptoms`
TRUE,{{精神神経症状名}},記述,,,,,,,,,,,,,,,,,,,,,,,`mental_physical_state.psychiatric_symptom_name`
TRUE,{{専門医受診有無}},ラジオボタン,□無 □有,,,,,,,,,,,,,,,,,,,,,,`mental_physical_state.specialist_visit`
TRUE,{{専門医受診科名}},記述,,,,,,,,,,,,,,,,,,,,,,,`mental_physical_state.specialist_department`
TRUE,{{利き腕}},ラジオボタン,□右 □左,,,,,,,,,,,,,,,,,,,,,,`mental_physical_state.dominant_hand`
TRUE,{{身長}},記述,,,,,,,,,,,,,,,,,,,,,,,`mental_physical_state.height`
TRUE,{{体重}},記述,,,,,,,,,,,,,,,,,,,,,,,`mental_physical_state.weight`
TRUE,{{体重の変化}},ラジオボタン,□増加 □維持 □減少,,,,,,,,,,,,,,,,,,,,,,`mental_physical_state.weight_change`
TRUE,{{四肢欠損}},チェックボックス,□四肢欠損,,,,,,,,,,,,,,,,,,,,,,`mental_physical_state.limb_loss`
TRUE,{{四肢欠損部位}},記述,,,,,,,,,,,,,,,,,,,,,,,`mental_physical_state.limb_loss_location`
TRUE,{{麻痺}},チェックボックス,□麻痺,,,,,,,,,,,,,,,,,,,,,,`mental_physical_state.paralysis`
